,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1953,600650.SH,20200217,11773,1047.62,15666,1395.58,14540,1294.45,12009,1068.11,4282,379.89,2920,258.27,0,0.0,0,0.0,9016,803.32
1954,002399.SZ,20200217,14363,3617.63,19708,4969.8,19860,5004.14,32849,8299.02,37971,9592.02,22461,5682.93,10134,2569.26,7309,1831.31,3028,782.98
1955,002553.SZ,20200217,35558,1971.17,40072,2226.28,51200,2843.05,43785,2432.35,13722,763.85,17987,995.13,1938,107.49,573,31.8,-12804,-697.81
1956,300217.SZ,20200217,68890,1511.65,69044,1517.7,76560,1679.95,76307,1675.27,50409,1108.52,50507,1107.16,0,0.0,0,0.0,44305,975.88
1957,603716.SH,20200217,14309,2576.65,11528,2079.48,17570,3166.72,18372,3311.67,7248,1306.03,10654,1916.51,1428,258.26,0,0.0,3038,552.17
1958,002684.SZ,20200217,21836,1234.59,17149,972.85,23879,1354.86,24736,1399.91,10789,610.41,14360,813.69,1952,111.07,2211,124.48,-2418,-131.75
1959,300348.SZ,20200217,47298,13322.52,51070,14423.02,92174,25978.62,88139,24879.18,88396,24955.41,104987,29616.04,39090,11084.47,22762,6422.78,5625,1638.87
1960,300502.SZ,20200217,25962,16295.41,28606,17992.82,38358,24088.65,44554,28024.1,43720,27554.86,35402,22237.59,26548,17007.66,26026,16692.07,37,-277.86
1961,600345.SH,20200217,17970,3536.08,20812,4102.24,27033,5322.69,22995,4529.57,12953,2555.94,14874,2927.92,1838,364.02,1113,219.01,11701,2312.84
1962,601038.SH,20200217,82420,5207.88,96133,6077.8,87270,5517.77,83476,5275.54,52684,3326.65,39167,2470.31,1649,105.87,5247,334.52,23011,1475.91
1963,601989.SH,20200217,319140,14488.32,411192,18673.61,410438,18617.04,465398,21100.23,546239,24777.34,380009,17222.04,212244,9625.91,231462,10512.75,485886,22058.59
1964,002497.SZ,20200217,132493,15187.53,122108,14034.75,169304,19430.02,200409,23039.96,200884,23093.04,176666,20267.71,78556,9052.58,82054,9420.74,15046,1849.66
1965,002651.SZ,20200217,42368,1895.62,56469,2535.18,49451,2208.71,55773,2511.9,30865,1412.48,21108,965.81,14363,668.37,3697,172.29,15806,676.04
1966,300315.SZ,20200217,357022,25947.77,387612,28213.7,444934,32368.87,368100,26771.83,337477,24529.18,423665,30797.63,165736,12068.7,125792,9131.37,177738,13027.57
1967,600158.SH,20200217,31166,3069.71,40776,4022.27,60119,5926.36,50778,5004.6,53158,5236.43,44485,4384.34,13104,1298.07,21508,2119.35,22308,2211.95
1968,000837.SZ,20200217,44546,1586.47,50886,1813.18,41001,1457.44,42051,1493.83,26150,930.23,19639,698.68,879,31.56,0,0.0,42336,1505.9
1969,002174.SZ,20200217,48195,14347.69,53114,15826.37,64291,19136.39,68560,20423.85,72510,21652.5,64720,19305.78,25115,7500.58,23717,7081.15,23480,7066.13
1970,603337.SH,20200217,15130,3412.55,10064,2271.24,10792,2430.75,13242,2982.92,4906,1100.99,8000,1796.21,1006,225.83,528,119.75,-2222,-487.28
1971,000968.SZ,20200217,10229,930.63,9808,893.64,13654,1242.66,13347,1214.95,8867,808.11,10451,950.92,856,78.11,0,0.0,4766,434.66
