"Date","Open","High","Low","Close","Volume","Adj Close"
2016-07-13,117.4395,121.5495,117.4395,121.4295,71191000,121.4295
2016-07-14,121.3873,122.0673,120.5573,121.4273,21374000,121.4273
2016-07-15,120.7751,121.4551,120.7751,121.2351,3286000,121.2351
2016-07-18,121.5485,122.0785,121.0185,121.8585,2998000,121.8585
2016-07-19,121.5463,122.3363,121.1063,121.8263,7241000,121.8263
2016-07-20,121.8441,122.3841,121.5541,121.7441,3223000,121.7441
2016-07-21,121.4719,122.4419,121.4719,122.3719,2353000,122.3719
2016-07-22,122.4897,123.4097,122.0397,122.0397,3120000,122.0397
2016-07-25,121.3832,122.6232,121.1332,121.5332,9683000,121.5332
2016-07-26,121.581,123.431,121.531,122.171,3446000,122.171
2016-07-27,122.0488,123.1788,120.5288,121.3288,4069000,121.3288
2016-07-28,120.6066,121.1066,120.0666,120.4366,2260000,120.4366
2016-07-29,119.7544,121.2244,117.5344,118.0744,7229000,118.0744
2016-08-01,118.0678,118.0678,116.5278,116.6778,4176000,116.6778
2016-08-02,116.6656,117.4956,116.4856,117.2956,417000,117.2956
2016-08-03,116.6734,118.2834,116.6734,118.1134,1129000,118.1134
2016-08-04,117.6212,119.5112,117.6212,119.0012,2215000,119.0012
2016-08-05,119.009,120.709,118.999,119.939,6387000,119.939
2016-08-08,119.6125,120.8225,119.1725,120.4525,8624000,120.4525
2016-08-09,120.8203,120.9703,120.2003,120.8803,2708000,120.8803
2016-08-10,120.4081,121.3481,119.7981,119.8281,1681000,119.8281
2016-08-11,120.3859,120.3859,119.8559,119.8559,2578000,119.8559
2016-08-12,119.8237,121.9937,119.8237,121.7637,29024000,121.7637
2016-08-15,122.0871,126.4671,122.0871,125.9771,29751000,125.9771
2016-08-16,126.0749,127.3549,125.6849,125.7449,31634000,125.7449
2016-08-17,125.7827,125.7827,124.9827,124.9927,4228000,124.9927
2016-08-18,125.4505,128.3305,125.4505,127.3805,19088000,127.3805
2016-08-19,127.9184,128.0784,125.4884,126.7184,1355000,126.7184
2016-08-22,126.3418,126.7618,126.1818,126.3718,4849000,126.3718
2016-08-23,125.5896,126.9596,125.4696,125.4796,1096000,125.4796
2016-08-24,125.4874,125.9674,125.0774,125.0874,571000,125.0874
2016-08-25,125.5052,125.5052,123.1152,123.1352,3753000,123.1352
2016-08-26,123.863,124.463,122.343,122.493,2885000,122.493
2016-08-29,122.5564,123.8864,122.0564,122.1264,2903000,122.1264
2016-08-30,122.1542,122.8442,121.4542,121.8442,777000,121.8442
2016-08-31,121.9521,123.0321,121.5221,122.7421,11956000,122.7421
