,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2636,000300.SH,20120821,2313.703,2301.932,2327.375,2296.551,2301.788,11.915,0.5176,34895100.0,34757869.338
2637,000300.SH,20120820,2301.788,2294.901,2307.406,2279.946,2313.476,-11.688,-0.5052,27402033.0,27174816.852
2638,000300.SH,20120817,2313.476,2318.432,2322.885,2295.158,2319.67,-6.194,-0.267,26065717.0,28629966.797
2639,000300.SH,20120816,2319.67,2327.91,2335.397,2317.061,2331.615,-11.945,-0.5123,25902905.0,27076003.542
2640,000300.SH,20120815,2331.615,2350.022,2350.022,2330.15,2357.016,-25.401,-1.0777,30580176.0,30332554.84
2641,000300.SH,20120814,2357.016,2352.659,2357.847,2324.906,2351.931,5.085,0.2162,39850066.0,42404687.531
2642,000300.SH,20120813,2351.931,2394.504,2394.504,2350.808,2399.751,-47.82,-1.9927,44783546.0,46249676.189
2643,000300.SH,20120810,2399.751,2409.937,2413.423,2395.912,2411.7,-11.949,-0.4955,34702995.0,40699222.527
2644,000300.SH,20120809,2411.7,2388.43,2412.142,2378.854,2389.795,21.905,0.9166,35658951.0,43256096.919
2645,000300.SH,20120808,2389.795,2390.959,2405.183,2382.825,2388.873,0.922,0.0386,37810451.0,41340862.162
2646,000300.SH,20120807,2388.873,2383.257,2390.782,2379.452,2385.611,3.262,0.1367,38285489.0,40403711.505
2647,000300.SH,20120806,2385.611,2350.117,2388.363,2348.119,2353.737,31.874,1.3542,41820665.0,43686686.303
2648,000300.SH,20120803,2353.737,2340.25,2354.156,2329.934,2334.882,18.855,0.8075,29769785.0,31106947.335
2649,000300.SH,20120802,2334.882,2354.073,2358.559,2325.608,2358.651,-23.769,-1.0077,31516159.0,29751166.648
2650,000300.SH,20120801,2358.651,2332.129,2371.122,2331.949,2332.922,25.729,1.1029,31420848.0,31277764.382
2651,000300.SH,20120731,2332.922,2336.882,2350.071,2329.505,2335.793,-2.871,-0.1229,32099723.0,31196332.451
2652,000300.SH,20120730,2335.793,2350.782,2367.029,2333.999,2349.108,-13.315,-0.5668,30484851.0,29907972.257
2653,000300.SH,20120727,2349.108,2353.942,2364.984,2341.293,2347.488,1.62,0.069,31090525.0,33048182.067
2654,000300.SH,20120726,2347.488,2360.134,2374.874,2344.695,2360.083,-12.595,-0.5337,31314094.0,31326395.007
2655,000300.SH,20120725,2360.083,2368.384,2381.043,2357.468,2375.992,-15.909,-0.6696,24896501.0,25730598.144
2656,000300.SH,20120724,2375.992,2353.22,2392.353,2352.803,2365.431,10.561,0.4465,30310079.0,31149105.846
2657,000300.SH,20120723,2365.431,2379.885,2379.885,2357.507,2398.455,-33.024,-1.3769,32390369.0,33178928.582
2658,000300.SH,20120720,2398.455,2415.71,2423.804,2392.181,2424.322,-25.867,-1.067,37619754.0,36683623.955
2659,000300.SH,20120719,2424.322,2407.443,2444.057,2401.291,2414.335,9.987,0.4137,46949052.0,47704038.961
2660,000300.SH,20120718,2414.335,2412.062,2420.778,2373.647,2414.201,0.134,0.0056,41751788.0,44325492.55
2661,000300.SH,20120717,2414.201,2391.897,2421.929,2391.281,2399.731,14.47,0.603,33424329.0,38285441.648
2662,000300.SH,20120716,2399.731,2452.595,2452.595,2399.61,2450.633,-50.902,-2.0771,42771870.0,45844882.072
2663,000300.SH,20120713,2450.633,2441.013,2467.99,2438.979,2449.181,1.452,0.0593,36725256.0,42013581.196
2664,000300.SH,20120712,2449.181,2420.036,2460.559,2404.584,2425.572,23.609,0.9733,56717691.0,65137536.868
2665,000300.SH,20120711,2425.572,2402.184,2427.795,2402.154,2406.706,18.866,0.7839,37624312.0,39851892.244
2666,000300.SH,20120710,2406.706,2411.003,2426.529,2402.371,2416.036,-9.33,-0.3862,35549984.0,38539025.245
2667,000300.SH,20120709,2416.036,2455.892,2470.205,2414.953,2472.614,-56.578,-2.2882,49223302.0,54601732.513
2668,000300.SH,20120706,2472.614,2435.059,2477.231,2420.356,2430.37,42.244,1.7382,49610605.0,56601778.899
2669,000300.SH,20120705,2430.37,2450.3,2450.3,2420.001,2464.919,-34.549,-1.4016,34726145.0,35946204.421
2670,000300.SH,20120704,2464.919,2474.527,2481.336,2455.995,2468.721,-3.802,-0.154,34452142.0,37837659.888
2671,000300.SH,20120703,2468.721,2464.85,2490.547,2457.449,2465.238,3.483,0.1413,38693354.0,45004653.879
2672,000300.SH,20120702,2465.238,2473.545,2473.966,2452.986,2461.612,3.626,0.1473,40510078.0,45651476.527
2673,000300.SH,20120629,2461.612,2418.862,2462.815,2417.486,2425.729,35.883,1.4793,37994941.0,40976538.386
2674,000300.SH,20120628,2425.729,2451.664,2459.189,2425.24,2447.195,-21.466,-0.8772,30543113.0,34418793.21
2675,000300.SH,20120627,2447.195,2452.666,2470.762,2444.343,2454.915,-7.72,-0.3145,30007553.0,31437597.414
2676,000300.SH,20120626,2454.915,2442.562,2465.12,2434.64,2456.518,-1.603,-0.0653,31734008.0,33896511.717
2677,000300.SH,20120625,2456.518,2501.163,2501.163,2455.008,2512.185,-55.667,-2.2159,40106735.0,42503507.171
2678,000300.SH,20120621,2512.185,2547.048,2547.048,2502.419,2552.611,-40.426,-1.5837,35396732.0,38607959.039
2679,000300.SH,20120620,2552.611,2563.643,2570.663,2549.438,2558.621,-6.01,-0.2349,29850639.0,33573669.769
2680,000300.SH,20120619,2558.621,2577.362,2577.362,2556.103,2581.212,-22.591,-0.8752,32700553.0,37020041.266
2681,000300.SH,20120618,2581.212,2576.629,2593.218,2572.987,2568.054,13.158,0.5124,35693628.0,40852450.181
2682,000300.SH,20120615,2568.054,2565.189,2580.17,2538.572,2560.421,7.633,0.2981,42786078.0,48868302.897
2683,000300.SH,20120614,2560.421,2573.329,2584.709,2558.565,2580.636,-20.215,-0.7833,40247934.0,46331822.555
2684,000300.SH,20120613,2580.636,2546.791,2581.115,2539.632,2540.178,40.458,1.5927,45014568.0,51291269.477
2685,000300.SH,20120612,2540.178,2543.765,2553.915,2529.951,2558.265,-18.087,-0.707,37936676.0,40259911.52
